date,match_id,side,id,url,price,rating,year,title,subtitle,club,country,image_name,image_url,rating_source,image_position,elo
2026-05-18,0,left,100354,,,20.93,2026,Pimento cheese milkshake,"Vanilla ice cream, vanilla syrup, pimento cheese, potato chips",University of Miami,USA,0_left.webp,https://scrandle.com/media/o/2baec2f02037fd555dd80db10dfaaecc.webp,scrandle,center,798.2623265030277
2026-05-18,0,right,1799606183658917902,https://x.com/C_Jarhart/status/1799606183658917902,,38.55,2024,Italian beff combo,,Red Stars FC,USA,0_right.webp,https://scrandle.com/media/o/GPl8RuqXQAAko9v.webp,scrandle,center,968.2610738627212
2026-05-18,1,left,100329,,11.3,41.72,2026,Smoked turkey wrap,,Texas Furry Fiesta,USA,1_left.webp,https://scrandle.com/media/o/47c1a64c32ffd4f6fda77ad3a1f11fec.webp,scrandle,center,953.2897841180585
2026-05-18,1,right,1876281042677662018,https://x.com/SportScran/status/1876281042677662018,7.5,9.88,2025,Double cheeseburger,,Brighton & Hove Albion F.C.,ENG,1_right.webp,https://scrandle.com/media/o/GgnjqdzWgAAKEfa.webp,scrandle,center,773.3779389742738
2026-05-18,2,left,1463166587847036935,https://x.com/FootyScran/status/1463166587847036935,4.5,13.55,2021,Beef pie,,Manchester City F.C.,ENG,2_left.webp,https://scrandle.com/media/o/FE42QUVXsAoUAXf.webp,scrandle,center,811.6721566580491
2026-05-18,2,right,100200,,132.0,47.71,2026,The LX Hammer Burger,"Cheeseburger, bone-in braised beef shank, roasted mirepoix demi-glace, bleu cheese fondue, brioche bun",Super Bowl LX,USA,2_right.webp,https://scrandle.com/media/o/bafkreihom7p5jh7ial3h57libatrpr36af7o3ojkmvnpvhdpe4t35wwymm.webp,scrandle,bottom,1008.3761304238678
2026-05-18,3,left,1504584017856720938,https://x.com/FootyScran/status/1504584017856720938,10.5,73.84,2022,Chilli cheese dog,,Houston Dynamo FC,USA,3_left.webp,https://scrandle.com/media/o/FOFbL98WQA05H6_.webp,scrandle,center,1120.9530679370278
2026-05-18,3,right,1525176706159587332,https://x.com/FootyScran/status/1525176706159587332,6.0,48.57,2022,Bacon cheeseburger,,West Bromwich Albion F.C.,ENG,3_right.webp,https://scrandle.com/media/o/FSqEIRrWAAAlInY.webp,scrandle,center,982.9258244885676
2026-05-18,4,left,1762631292762362134,https://x.com/FootyScran/status/1762631292762362134,,65.49,2024,Quesabirria tacos,With elote,Philadelphia Union,USA,4_left.webp,https://scrandle.com/media/o/GHYV6FNXMAAxA3r.webp,scrandle,center,1092.9456623516796
2026-05-18,4,right,1817193988148891989,https://x.com/realguysmith/status/1817193988148891989,,53.68,2024,Lamb kofta and rice,With mint sauce,Avro F.C.,ENG,4_right.webp,https://scrandle.com/media/o/GTf4TBHWkAAFGfe.webp,scrandle,center,1015.1193351518729
2026-05-18,5,left,1896277082201813039,https://x.com/SportScran/status/1896277082201813039,12.25,8.3,2025,Swedish meatball sub,,Minnesota United,USA,5_left.webp,https://scrandle.com/media/o/GlDt9FtWUAAsb5U.webp,scrandle,center,770.4341865490002
2026-05-18,5,right,1836528805017792587,https://x.com/SportScran/status/1836528805017792587,11.4,50.43,2024,Walking on Sunshine Freakshake,,New York Yankees,USA,5_right.webp,https://scrandle.com/media/o/GXypNm_XYAAZEGq.webp,scrandle,center,1003.4972364040153
2026-05-18,6,left,100272,,6.0,13.05,2026,Bacon roll,,Southampton F.C.,ENG,6_left.webp,https://scrandle.com/media/o/6816386e99cebe955293f5613ce5fc9a.webp,scrandle,center,744.3307269177782
2026-05-18,6,right,1516112258560151552,https://x.com/FootyScran/status/1516112258560151552,4.0,63.83,2022,Waffle chips,With mayo and roasted onion bits,HIFK,FIN,6_right.webp,https://scrandle.com/media/o/FQpQD_9WYAwoiC9.webp,scrandle,center,1084.9098341147258
2026-05-18,7,left,1535002468333015041,https://x.com/FootyScran/status/1535002468333015041,5.0,21.68,2022,Nachos,,The Etihad,ENG,7_left.webp,https://scrandle.com/media/o/FU1smylWYAgdv0z.webp,scrandle,center,801.5073086833042
2026-05-18,7,right,100214,,13.2,53.7,2026,Shoyu chicken and kalua pork platter,,Moda Center,USA,7_right.webp,https://scrandle.com/media/o/scrandle_-_Copy.webp,scrandle,center,963.1954619336874
2026-05-18,8,left,1924945544608125328,https://x.com/MottysMic/status/1924945544608125328,4.0,36.14,2025,Cheeseburger,,Westoning FC,ENG,8_left.webp,https://scrandle.com/media/o/GrbHxMnXUAAK_Wo.webp,scrandle,center,904.5826835314872
2026-05-18,8,right,1601611091985203200,https://x.com/FootyScran/status/1601611091985203200,7.0,17.3,2022,"Pie, mash and liquor",,Millwall F.C.,ENG,8_right.webp,https://scrandle.com/media/o/FjoQy_kX0AEITGW.webp,scrandle,center,845.9081450672929
2026-05-18,9,left,100475,https://x.com/HyeseongKimMuse/status/2050082680490909702/photo/1,1.5,40.79,2026,Two dollar tacos,Price for each,Oklahoma City Comets,USA,9_left.webp,https://scrandle.com/media/o/9f3303e6e469d474383a150af2317ed0.webp,scrandle,center,936.9706953990101
2026-05-18,9,right,1561042672642580485,https://x.com/FootyScran/status/1561042672642580485,2.5,77.99,2022,Pulled pork and chips,,Darlington,ENG,9_right.webp,https://scrandle.com/media/o/FanwCFNWIAE8TvT.webp,scrandle,center,1160.3706783529378
