date,match_id,side,id,url,price,rating,year,title,subtitle,club,country,image_name,image_url,rating_source,image_position,elo
2026-05-03,0,left,100429,,16.0,35.21,2026,2412,2826,Rhode Island FC,USA,0_left.webp,https://scrandle.com/media/o/8cc723dea927f4c12314fb2e16e44d5f.webp,scrandle,bottom,242.9058150470251
2026-05-03,0,right,1943381713641722198,https://x.com/RentsFaeLeith/status/1943381713641722198,4.0,43.62,2025,157,1832,Easter Road stadium,SCO,0_right.webp,https://scrandle.com/media/o/GvhHXdqWcAARdvx.webp,scrandle,center,302.30169482486616
2026-05-03,1,left,1483062948121784328,https://x.com/FootyScran/status/1483062948121784328,7.0,52.61,2022,9,2,Grimsby Town,ENG,1_left.webp,https://scrandle.com/media/o/FJTl46fXMAcGtSZ.webp,scrandle,center,401.499744096444
2026-05-03,1,right,1943381713641722198,https://x.com/RentsFaeLeith/status/1943381713641722198,4.0,43.62,2025,157,1832,Easter Road stadium,SCO,1_right.webp,https://scrandle.com/media/o/GvhHXdqWcAARdvx.webp,scrandle,center,302.30169482486616
2026-05-03,2,left,100136,,8.65,42.9,2026,2413,2,Saskatoon,CAN,2_left.webp,https://scrandle.com/media/o/1000022790.webp,scrandle,center,420.1151215629936
2026-05-03,2,right,100345,,24.85,32.37,2026,1639,1833,"Utah Jazz, Delta Center",USA,2_right.webp,https://scrandle.com/media/o/5f4bda9160900b35eeee5785e5d60a7e.webp,scrandle,center,266.5961770527831
2026-05-03,3,left,1908934032811028592,https://x.com/MichielGroot74/status/1908934032811028592,7.75,40.87,2025,2414,2827,Kurio's Amsterdam,NED,3_left.webp,https://scrandle.com/media/o/Gn3lYT0XUAAICd7.webp,scrandle,center,460.1669726900042
2026-05-03,3,right,1495467128639660033,https://x.com/FootyScran/status/1495467128639660033,3.0,49.34,2022,2415,2,St Johnstone,SCO,3_right.webp,https://scrandle.com/media/o/FMD3bFqXMAAKxg5.webp,scrandle,center,348.5804437520695
2026-05-03,4,left,1841856428937490608,https://x.com/SportScran/status/1841856428937490608,4.5,55.36,2024,154,398,Histon FC,ENG,4_left.webp,https://scrandle.com/media/o/GY-WqLIXcAAv2sa.webp,scrandle,center,357.8833976075875
2026-05-03,4,right,100068,https://www.instagram.com/p/C3GOb1boxTx/,6.8,43.45,2024,2416,2828,LA FC,USA,4_right.webp,https://scrandle.com/media/o/426412309_399406612563998_8804183882092035684_n.webp,scrandle,bottom,388.1554504261554
2026-05-03,5,left,1837828815554232510,https://x.com/kerrybha95/status/1837828815554232510,8.0,26.54,2024,352,226,Brighton & Hove Albion,ENG,5_left.webp,https://scrandle.com/media/o/GYFHkOoXIAAIzr0.webp,scrandle,center,356.1589786568372
2026-05-03,5,right,100066,https://x.com/FootyScran/status/1976805931779592669,1.5,17.61,2025,2417,2,Marske United FC,ENG,5_right.webp,https://scrandle.com/media/o/G28GhGkWcAA-WAW.webp,scrandle,center,220.9179609428031
2026-05-03,6,left,1504377334249443328,https://x.com/FootyScran/status/1504377334249443328,10.8,32.29,2022,17,5,Arsenal,ENG,6_left.webp,https://scrandle.com/media/o/FOCfNgmX0AYtRJ4.webp,scrandle,center,310.7405613048504
2026-05-03,6,right,1913244859630023130,https://x.com/BrocksKitCloset/status/1913244859630023130,5.5,21.06,2025,1622,2,AFC Wimbledon,ENG,6_right.webp,https://scrandle.com/media/o/Go02DhIXkAA_4qX.webp,scrandle,center,213.4336527109619
2026-05-03,7,left,1811832195327439285,https://x.com/JackEva37637835/status/1811832195327439285,6.0,20.72,2024,14,2,Taffs Well FC,WAL,7_left.webp,https://scrandle.com/media/o/GSTrxIwWEAAoTSZ.webp,scrandle,center,235.87401632207337
2026-05-03,7,right,100276,,2.8,9.75,2026,1640,219,Derby County FC,ENG,7_right.webp,https://scrandle.com/media/o/f3d1e2ddfee4d46d6e0e98adf011e938.webp,scrandle,center,131.0497428632471
2026-05-03,8,left,1851725420535910857,https://x.com/DeepaPremchand/status/1851725420535910857,,49.65,2024,1030,1230,Manchester United,ENG,8_left.webp,https://scrandle.com/media/o/GbKmc22WQAAcnoT.webp,scrandle,center,326.7088427189466
2026-05-03,8,right,100357,,,26.27,2026,1641,2,Ducla Prague,CZE,8_right.webp,https://scrandle.com/media/o/0f52e3f04b807ea60b0d27c86a11326b.webp,scrandle,center,238.82462383741927
2026-05-03,9,left,100366,,9.2,4.1,2026,992,2,"Rogers Centre, Toronto",CAN,9_left.webp,https://scrandle.com/media/o/8fe7bfa71308b21e07f0efe2a8ce6a82.webp,scrandle,center,136.99657209427224
2026-05-03,9,right,1904666007144194472,https://x.com/lukekear7/status/1904666007144194472,4.3,19.63,2025,1534,2,Gibraltar vs Czech Republic,POR,9_right.webp,https://scrandle.com/media/o/Gm67oxsW4AAlK1p.webp,scrandle,center,219.6347903715765
